Countries and areas,Region,Income Group,Life Expectancy,Healthy Life Expectancy,Cancer,Suicide,Alcohol Consumption,Road Accidents,Obesity,Malaria,Hypertension,Tuberculosis,Sanitation
El Salvador,Latin America & Caribbean,Upper middle income,75,64.9,10.7,6,3.3,20.9,24.6,-,32.7,49,6.1
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,62.2,53.9,22.1,7.9,6.9,27.2,8,213.2,38.1,275,29.7
Eritrea,Sub-Saharan Africa,Low income,64.1,55.7,26.8,10.9,1.2,37.9,5,25.7,23.7,74,66.5
Estonia,Europe & Central Asia,High income,78.9,69.2,14.9,14.9,11.3,4.5,21.2,-,40.2,9.3,2.6
Eswatini,Sub-Saharan Africa,Lower middle income,57.7,50.1,35.2,29.4,8.1,33.5,16.5,0.9,42.5,348,46.5
Ethiopia,Sub-Saharan Africa,Low income,68.7,59.9,17.1,5.4,3.4,28.2,4.5,46.3,27.4,119,40.7
Fiji,East Asia & Pacific,Upper middle income,68,59.6,37.7,9,3.4,13.5,30.2,-,38.6,66,10.8
Finland,Europe & Central Asia,High income,81.6,71,9.6,15.3,9.2,3.9,22.2,-,35.9,3.5,0.8
France,Europe & Central Asia,High income,82.5,72.1,10.6,13.8,11.3,5.1,21.6,-,29.1,7.7,3.4
Gabon,Sub-Saharan Africa,Upper middle income,66.5,57.6,21.3,8.4,7.3,23.9,15,228.9,37.4,513,17.5
Gambia,Sub-Saharan Africa,Low income,65.5,57,21.1,4.8,1.1,29.6,10.3,80.8,37.6,149,29.5
Georgia,Europe & Central Asia,Upper middle income,73.3,64.7,24.9,9.2,14.3,12.4,21.7,-,44.5,64,3.3
Germany,Europe & Central Asia,High income,81.7,70.9,12.1,12.3,12.2,3.8,22.3,-,29.7,5,3.2
Ghana,Sub-Saharan Africa,Lower middle income,66.3,58,22.5,6.6,4.5,25.7,10.9,164.4,33.9,136,25.2
Greece,Europe & Central Asia,High income,81.1,70.9,12.5,5.1,7.1,8.3,24.9,-,31.3,4.1,7.6
Grenada,Latin America & Caribbean,Upper middle income,72.9,63.9,23.3,0.7,8.1,8,21.3,-,46.6,3.2,6.7
Guatemala,Latin America & Caribbean,Upper middle income,72,62.3,16.5,5.9,1.6,22.9,21.2,0.1,32.2,27,15.3
Guinea,Sub-Saharan Africa,Lower middle income,61,53.3,24.9,7,0.5,29.7,7.7,330.9,40.9,175,57.8
Guinea-Bissau,Sub-Saharan Africa,Low income,60.2,52.6,24.9,7,4.1,32.2,9.5,105.1,38,361,49.4
Guyana,Latin America & Caribbean,High income,65.7,57.2,29.2,40.3,5.3,22.3,20.2,32.1,40,83,8.6
Haiti,Latin America & Caribbean,Lower middle income,64.1,55.8,31.3,9.6,3.5,18.8,22.7,2.2,42.9,159,25.9
Honduras,Latin America & Caribbean,Lower middle income,71.9,63,18.7,2.1,3.2,16.1,21.4,0.2,33.9,33,7.1
Hungary,Europe & Central Asia,High income,76.4,67.2,22.1,16.6,10.6,7.7,26.4,-,48.3,3.7,2
Iceland,Europe & Central Asia,High income,82.3,72,8.7,11.9,8.1,2,21.9,-,27.5,2.9,2.4
India,South Asia,Lower middle income,70.8,60.3,21.9,12.7,4.9,15.6,3.9,3.2,31.1,210,36.4
Indonesia,East Asia & Pacific,Upper middle income,71.3,62.8,24.8,2.4,0.1,11.3,6.9,3,40.3,354,15.8
Iran (Islamic Republic of),Middle East & North Africa,Lower middle income,77.3,66.3,14.8,5.2,0.7,21.5,25.8,0,26.2,12,2.9
Iraq,Middle East & North Africa,Upper middle income,72.4,62.7,23.5,3.6,0.2,27.3,30.4,0,48.1,24,4.4
Ireland,Europe & Central Asia,High income,81.8,71.1,9.7,9.6,11.7,3.1,25.3,-,32.3,4.8,2.7
Israel,Middle East & North Africa,High income,82.6,72.4,8.8,5.3,3,3.9,26.1,-,29.1,2.8,2
Italy,Europe & Central Asia,High income,83,71.9,9,6.7,8,5.3,19.9,-,33.8,4.9,3
Jamaica,Latin America & Caribbean,Upper middle income,76,66.6,16.9,2.4,3.6,15.1,24.7,-,46.3,3.3,2.3
Japan,East Asia & Pacific,High income,84.3,74.1,8.3,15.3,6.7,3.6,4.3,-,31.4,11,8.4
Jordan,Middle East & North Africa,Lower middle income,77.9,67.6,15.3,1.6,0.3,17,35.5,-,37.7,4.2,1.9
Kazakhstan,Europe & Central Asia,Upper middle income,74,65,22.4,17.6,4.5,12.7,21,-,41.9,74,3.2
Kenya,Sub-Saharan Africa,Lower middle income,66.1,57.7,21,6.1,2.9,28.3,7.1,64.5,33.2,251,29
Kiribati,East Asia & Pacific,Lower middle income,59.4,52.6,50.8,28.3,0.8,1.9,46,-,42.3,424,37.4
Kuwait,Middle East & North Africa,High income,81,70.1,11.9,2.9,0,15.4,37.9,-,40.5,20,0.8
Kyrgyzstan,Europe & Central Asia,Lower middle income,74.2,65.8,20.3,7.4,5,12.7,16.6,-,40.9,130,2.3
Lao People's Democratic Republic,East Asia & Pacific,Not Available,68.5,60.5,26.8,5.4,11.5,17.9,5.3,1.7,28.5,143,20.5
Latvia,Europe & Central Asia,High income,75.4,66.2,21.6,20.1,13.1,8.1,23.6,-,43.9,16,2.6
Lebanon,Middle East & North Africa,Lower middle income,76.4,66,19.9,2.8,1.5,16.4,32,-,38.1,9.7,2.4
Lesotho,Sub-Saharan Africa,Lower middle income,50.7,44.2,42.7,72.4,4.5,31.9,16.6,-,40.1,614,108.1
Liberia,Sub-Saharan Africa,Low income,64.1,54.9,17.8,4.4,3.6,38.9,9.9,356.7,39.4,308,34.6
Libya,Middle East & North Africa,Upper middle income,75.8,65.2,18.6,4.5,0.1,21.3,32.5,-,42.7,59,2.2
Lithuania,Europe & Central Asia,High income,76,66.7,19.3,26.1,11.8,8.1,26.3,-,48,26,2.6
Luxembourg,Europe & Central Asia,High income,82.4,71.6,9.7,11.3,11.5,4.1,22.6,-,30.5,6.1,1.9
Madagascar,Sub-Saharan Africa,Low income,65.3,57.3,26,5.5,1,29.2,5.3,169.8,36.9,233,40.1
Malawi,Sub-Saharan Africa,Low income,65.6,57.1,22.6,5.4,3.2,33.4,5.8,219.2,29.5,132,30.8
Malaysia,East Asia & Pacific,Upper middle income,74.7,65.7,18.4,5.7,0.8,22.5,15.6,0,40.8,97,14.4
Maldives,South Asia,Upper middle income,79.6,70,11.6,2.7,1.4,1.6,8.6,-,34.1,38,2.3
Mali,Sub-Saharan Africa,Low income,62.8,54.6,22.3,4.1,4.3,22.7,8.6,353.6,34.6,50,66.1
Malta,Middle East & North Africa,High income,81.9,71.5,10.5,6.1,8.5,4.1,28.9,-,29.5,12,4.6
Marshall Islands,East Asia & Pacific,Upper middle income,-,-,-,-,-,-,52.9,-,31.9,483,-
Mauritania,Sub-Saharan Africa,Lower middle income,68.4,59.8,16.1,3.1,0,25.6,12.7,18.4,37.9,81,37.8
Mauritius,Sub-Saharan Africa,Upper middle income,74.1,63.9,23.2,9.5,7.5,12.2,10.8,-,33.1,12,5.5
Mexico,Latin America & Caribbean,Upper middle income,76,65.8,15.6,5.3,5.7,12.8,28.9,0.1,32.1,25,3.5
Micronesia (Federated States of),East Asia & Pacific,Not Available,63,56,46.3,28.2,2.1,0.2,45.8,-,32.9,80,14
Monaco,Europe & Central Asia,High income,-,-,-,-,-,-,-,-,-,0,-
Mongolia,East Asia & Pacific,Lower middle income,68.1,60.3,35,17.9,7.9,21,20.6,-,42.8,428,3.2
Montenegro,Europe & Central Asia,Upper middle income,75.9,67,22.3,21,10.3,7.6,23.3,-,45.1,16,1.8
Morocco,Middle East & North Africa,Lower middle income,73,63.7,24.1,7.2,0.5,17,26.1,0,35.3,94,4.6
Mozambique,Sub-Saharan Africa,Low income,58.1,50.4,30.6,13.6,2,30,7.2,320.6,38.6,361,45.6
Myanmar,East Asia & Pacific,Lower middle income,69.1,60.9,24.9,2.9,2.1,20.4,5.8,9.1,37.8,360,12.9
Namibia,Sub-Saharan Africa,Upper middle income,64.6,56.1,22.6,9.7,5.9,34.8,17.2,10.6,43.8,457,28.8
Nauru,East Asia & Pacific,High income,-,-,-,-,2.9,-,61,-,41.8,193,-
Nepal,South Asia,Lower middle income,70.9,61.3,21.5,9,1.4,16.3,4.1,0.1,36.1,229,17.8
Netherlands (Kingdom of the),Europe & Central Asia,High income,81.8,71.4,10.3,11.8,9.3,4,20.4,-,30.5,4.4,3.4
New Zealand,East Asia & Pacific,High income,82,70.2,10.3,11,9.9,9.6,30.8,-,30.9,6.8,2.1
Nicaragua,Latin America & Caribbean,Lower middle income,75,65.5,15.3,4.3,4.2,16.9,23.7,9.9,35.8,45,3.5
Niger,Sub-Saharan Africa,Low income,63.3,55.5,21,5.3,0.1,25.5,5.5,323.4,41.5,79,70.3
Nigeria,Sub-Saharan Africa,Lower middle income,62.6,54.4,16.9,3.5,4.2,20.7,8.9,306.5,36.1,219,71.7
Niue,East Asia & Pacific,Not Available,-,-,-,-,9.3,-,50,-,39.5,48,-
North Macedonia,Europe & Central Asia,Upper middle income,74.8,66.1,22.7,9.4,4.6,5.1,22.4,-,45.1,11,1
Norway,Europe & Central Asia,High income,82.6,71.4,8.7,11.8,6.8,2.1,23.1,-,30.5,2.9,3.6
"occupied Palestinian territory, including east Jerusalem",Middle East & North Africa,High income,-,-,-,-,-,-,-,-,40.7,0.6,-
Oman,Middle East & North Africa,High income,73.9,64.7,21.5,4.8,0.9,10.6,27,0,45.6,5.9,1.6
Pakistan,South Asia,Lower middle income,65.6,56.9,29.4,8.9,0.1,13,8.6,2.2,43.2,264,38.8
Palau,East Asia & Pacific,Upper middle income,-,-,-,-,-,-,55.3,-,44.2,51,-
Panama,Latin America & Caribbean,High income,79.3,68.7,10.7,2.9,6.6,13.9,22.7,1.1,36.1,42,4.2
Papua New Guinea,East Asia & Pacific,Lower middle income,65.3,57.1,36,3,1.7,12.6,21.3,124.3,27.8,424,24.9
Paraguay,Latin America & Caribbean,Upper middle income,75.8,65.8,16,6,5.6,22,20.3,0,56.4,48,4.6
Peru,Latin America & Caribbean,Upper middle income,79.9,69.5,9.7,2.8,7.5,13.6,19.7,1.8,20.7,130,7.6
Philippines,East Asia & Pacific,Lower middle income,70.4,62,24.5,2.1,6.2,12,6.4,0.2,33.8,650,16.9
Poland,Europe & Central Asia,High income,78.3,68.7,17,11.3,11.6,9.4,23.1,-,49.2,10,5.4
Portugal,Europe & Central Asia,High income,81.6,71,11,11.5,10.4,8.2,20.8,-,32.3,16,6.8
Puerto Rico,Latin America & Caribbean,High income,-,-,-,-,-,-,-,-,-,0.6,-
Qatar,Middle East & North Africa,High income,77.2,67.1,10.7,5.8,1.1,7.3,35.1,-,40.9,42,0.4
Republic of Korea,East Asia & Pacific,High income,83.3,73.1,7.3,28.6,8.2,8.6,4.7,0.1,26.7,44,5.2
Republic of Moldova,Europe & Central Asia,Not Available,73.3,64.5,24.1,14.7,11.4,7.3,18.9,-,48.3,84,3.6
Romania,Europe & Central Asia,High income,75.6,66.8,21,9.7,17,10.3,22.5,-,48.4,45,7.2
Russian Federation,Europe & Central Asia,Upper middle income,73.2,64.2,24.2,25.1,10.4,12,23.1,-,44.3,47,3.2
Rwanda,Sub-Saharan Africa,Low income,69.1,60.2,20.2,5.6,1.9,29.4,5.8,126.3,29.8,56,25
Saint Kitts and Nevis,Latin America & Caribbean,Not Available,-,-,-,-,6.3,-,22.9,-,45.1,0,-
Saint Lucia,Latin America & Caribbean,Not Available,74.3,64.7,17.7,7.9,9.5,29.8,19.7,-,39.8,1.5,5.8
Saint Vincent and the Grenadines,Latin America & Caribbean,Not Available,73.2,64,20.7,1,7.2,7.4,23.7,-,39.3,8.7,5.3
Samoa,East Asia & Pacific,Lower middle income,70.5,62.1,31.2,12.6,2.4,13,47.3,-,38.3,6.8,8.2
San Marino,Europe & Central Asia,High income,-,-,-,-,-,-,-,-,-,0,-
Sao Tome and Principe,Sub-Saharan Africa,Not Available,70.4,61.6,21,1.5,5,27.9,12.4,12.2,45.1,114,16.7
Saudi Arabia,Middle East & North Africa,High income,74.3,64,20.9,6,0,35.9,35.4,0,34,8.2,1.9
Senegal,Sub-Saharan Africa,Lower middle income,68.6,59.4,19.5,6,0.4,23.5,8.8,59,40.5,113,31.7
Serbia,Europe & Central Asia,Upper middle income,75.9,66.9,22,11.4,7.9,7.5,21.5,-,46.1,15,3.9
Seychelles,Sub-Saharan Africa,High income,73.3,64,21.1,8.1,12,11.3,14,-,44.3,12,8.4
Sierra Leone,Sub-Saharan Africa,Low income,60.8,52.9,23.5,6.7,0.3,33,8.7,329.8,40.8,289,69.5
Singapore,East Asia & Pacific,High income,83.2,73.6,9.5,11.2,1.9,2.1,6.1,-,31.5,48,8.5
Slovakia,Europe & Central Asia,Not Available,78.2,68.5,15.5,12.1,10.5,6.1,20.5,-,42.7,2.8,3.6
Slovenia,Europe & Central Asia,High income,81.3,70.7,11.4,19.8,11,5.1,20.2,-,45.3,4.3,1.9
Solomon Islands,East Asia & Pacific,Not Available,65.2,57.8,39.2,14.7,1.6,16.5,22.5,216.1,29.8,65,32.7
Somalia,Sub-Saharan Africa,Low income,56.5,49.7,30.4,7.9,0,27.4,8.3,66.3,36.1,250,99.2
South Africa,Sub-Saharan Africa,Upper middle income,65.3,56.2,24.1,23.5,8.8,22.2,28.3,0.5,44.1,513,27.6
South Sudan,Sub-Saharan Africa,Low income,62.8,53.7,16.8,3.9,-,36.7,-,274.8,34.2,227,68.1
Spain,Europe & Central Asia,High income,83.2,72.1,9.6,7.7,10.9,3.9,23.8,-,27.2,8.2,3.2
Sri Lanka,South Asia,Lower middle income,76.9,67,13.2,14,2.8,19.7,5.2,0,35.6,63,4.8
Sudan,Sub-Saharan Africa,Low income,69.1,59.9,22.8,3.8,0.1,26.8,-,72.8,40.8,58,15.8
Suriname,Latin America & Caribbean,Upper middle income,71.5,62.4,22.7,25.4,6.6,15.3,26.4,0.2,42.9,29,7.1
Sweden,Europe & Central Asia,High income,82.4,71.9,8.4,14.7,9.3,3.1,20.6,-,30.2,3.8,3
Switzerland,Europe & Central Asia,High income,83.4,72.5,7.9,14.5,10.4,2.2,19.5,-,21.9,4.7,2.5
Syrian Arab Republic,Middle East & North Africa,Low income,72.7,62.9,22.1,2,0.2,14.9,27.8,0,41.1,18,9.1
Tajikistan,Europe & Central Asia,Lower middle income,69.5,62,28.3,4.3,0.9,15.7,14.2,-,46.8,88,9
Thailand,East Asia & Pacific,Upper middle income,77.7,68.3,13.7,8.8,7.8,32.2,10,0.2,29.2,143,11.8
Timor-Leste,East Asia & Pacific,Lower middle income,69.6,60.9,19.9,3.7,0.4,11.9,3.8,0,35.3,486,20.4
Togo,Sub-Saharan Africa,Low income,64.3,56.2,23.9,8.8,1.4,28.7,8.4,237.5,36,33,42.4
Tonga,East Asia & Pacific,Upper middle income,72.6,64,24.8,3.8,0.4,33,48.2,-,43.3,7.6,7.1
Trinidad and Tobago,Latin America & Caribbean,High income,76.1,66.2,17.1,8.7,6.1,9.3,18.6,-,42.4,13,1.6
Tunisia,Middle East & North Africa,Lower middle income,77,66.9,15.7,3.3,2,16.5,26.9,-,34.7,36,3.1
Türkiye,Europe & Central Asia,Upper middle income,78.6,68.4,15.6,2.4,1.8,6.7,32.1,-,32.8,18,2.5
Turkmenistan,Europe & Central Asia,Upper middle income,69.7,62.1,27.7,5.7,2.9,13.5,18.6,-,39,47,5.7
Tuvalu,East Asia & Pacific,Upper middle income,-,-,-,-,1.2,-,51.6,-,50.4,296,-
Uganda,Sub-Saharan Africa,Low income,66.7,58.2,21.2,4.6,12.2,29.4,5.3,284,32.5,199,28.1
Ukraine,Europe & Central Asia,Lower middle income,73,64.3,25.5,21.6,8.7,10.2,24.1,-,43.1,71,2.3
United Arab Emirates,Middle East & North Africa,High income,76.1,66,18.5,6.4,2.4,8.9,31.7,0,41.4,0.8,0.8
United Kingdom,Europe & Central Asia,High income,81.4,70.1,10.3,7.9,10.8,3.2,27.8,-,26.4,6.3,6.1
United Republic of Tanzania,Sub-Saharan Africa,Lower middle income,67.3,58.5,17.4,4.3,10.4,31.1,8.4,125.8,33.2,208,30.2
United States of America,North America,High income,78.5,66.1,13.6,16.1,9.6,12.7,36.2,-,31.6,2.6,2.3
Uruguay,Latin America & Caribbean,High income,77.1,67.5,16.5,21.2,5.5,14.8,27.9,-,42.4,32,4.4
Uzbekistan,Europe & Central Asia,Lower middle income,73,64.7,25.3,8,2.6,11.7,16.6,-,45.7,62,2.9
Vanuatu,East Asia & Pacific,Lower middle income,65.3,57.8,39.7,18,1.9,14.9,25.2,1.8,39.5,34,25
Venezuela (Bolivarian Republic of),Latin America & Caribbean,Upper middle income,73.9,64.4,14.8,2,3,39,25.6,14.5,39.4,47,5.2
Viet Nam,East Asia & Pacific,Lower middle income,73.7,65.3,21.2,7.5,9.3,30.6,2.1,0.1,29.7,173,6.9
Yemen,Middle East & North Africa,Low income,66.6,57.5,27.6,5.8,0.1,29.4,17.1,46.1,29.3,48,15.6
Zambia,Sub-Saharan Africa,Lower middle income,62.5,54.4,24.6,7.3,3.9,20.5,8.1,187.7,32.3,307,35.8
Zimbabwe,Sub-Saharan Africa,Lower middle income,60.7,53.1,28.4,14.1,3.6,41.2,15.5,27.2,42.3,190,36.2
